size,array_type,algorithm,time_ms,char_comps
2000,reverse,string_mergesort,0.212775,13102
2000,reverse,msd_radix,0.168308,9184
2000,reverse,msd_radix_hybrid,0.0787002,11863
2000,almost,std_quicksort,0.0687332,75975
2000,almost,std_mergesort,0.284842,21766
2000,almost,tsq,0.0533666,20262
2000,almost,string_mergesort,0.227233,17815
2000,almost,msd_radix,0.171642,9184
2000,almost,msd_radix_hybrid,0.0843916,11923
2100,random,std_quicksort,0.108367,70334
2100,random,std_mergesort,0.520183,28784
2100,random,tsq,0.079,20900
2100,random,string_mergesort,0.321642,22861
2100,random,msd_radix,0.1957,9692
2100,random,msd_radix_hybrid,0.102866,12782
2100,reverse,std_quicksort,0.0796832,74173
2100,reverse,std_mergesort,0.304458,17249
2100,reverse,tsq,0.0562086,22943
2100,reverse,string_mergesort,0.243867,13826
2100,reverse,msd_radix,0.194175,9692
2100,reverse,msd_radix_hybrid,0.094275,12596
2100,almost,std_quicksort,0.0763332,85787
2100,almost,std_mergesort,0.3294,23927
2100,almost,tsq,0.0914418,22724
2100,almost,string_mergesort,0.262558,19559
2100,almost,msd_radix,0.192058,9692
2100,almost,msd_radix_hybrid,0.0973416,12675
2200,random,std_quicksort,0.114808,73296
2200,random,std_mergesort,0.507659,30525
2200,random,tsq,0.0841998,22716
2200,random,string_mergesort,0.343984,24201
2200,random,msd_radix,0.209783,10212
2200,random,msd_radix_hybrid,0.108634,13557
2200,reverse,std_quicksort,0.084675,79451
2200,reverse,std_mergesort,0.350417,18005
2200,reverse,tsq,0.0652502,24279
2200,reverse,string_mergesort,0.262983,14443
2200,reverse,msd_radix,0.20705,10212
2200,reverse,msd_radix_hybrid,0.100809,13365
2200,almost,std_quicksort,0.078967,92435
2200,almost,std_mergesort,0.360458,25994
2200,almost,tsq,0.0631252,23789
2200,almost,string_mergesort,0.2709,21078
2200,almost,msd_radix,0.208008,10212
2200,almost,msd_radix_hybrid,0.102425,13465
2300,random,std_quicksort,0.123967,75807
2300,random,std_mergesort,0.595991,32261
2300,random,tsq,0.0876584,25149
2300,random,string_mergesort,0.339908,25454
2300,random,msd_radix,0.20625,10758
2300,random,msd_radix_hybrid,0.111958,14373
2300,reverse,std_quicksort,0.0875082,77381
2300,reverse,std_mergesort,0.317817,18835
2300,reverse,tsq,0.0601252,25202
2300,reverse,string_mergesort,0.264517,15155
2300,reverse,msd_radix,0.215758,10758
2300,reverse,msd_radix_hybrid,0.106542,14132
2300,almost,std_quicksort,0.0807416,91310
2300,almost,std_mergesort,0.446983,27664
2300,almost,tsq,0.057525,23848
2300,almost,string_mergesort,0.261767,22221
2300,almost,msd_radix,0.203792,10758
2300,almost,msd_radix_hybrid,0.100925,14306
2400,random,std_quicksort,0.129633,79039
2400,random,std_mergesort,0.511066,33981
2400,random,tsq,0.096467,26250
2400,random,string_mergesort,0.360458,26707
2400,random,msd_radix,0.221992,11268
2400,random,msd_radix_hybrid,0.113542,15141
2400,reverse,std_quicksort,0.133125,82344
2400,reverse,std_mergesort,0.321375,19570
2400,reverse,tsq,0.0615082,26826
2400,reverse,string_mergesort,0.277533,15814
2400,reverse,msd_radix,0.22225,11268
2400,reverse,msd_radix_hybrid,0.108742,14911
2400,almost,std_quicksort,0.0931668,111738
2400,almost,std_mergesort,0.383267,29041
2400,almost,tsq,0.0686752,24796
2400,almost,string_mergesort,0.289583,23221
2400,almost,msd_radix,0.225358,11268
2400,almost,msd_radix_hybrid,0.107883,14928
2500,random,std_quicksort,0.147783,84975
2500,random,std_mergesort,0.564867,35660
2500,random,tsq,0.103833,25800
2500,random,string_mergesort,0.386342,28006
2500,random,msd_radix,0.240892,11850
2500,random,msd_radix_hybrid,0.126875,16018
2500,reverse,std_quicksort,0.0961414,87749
2500,reverse,std_mergesort,0.362675,20668
2500,reverse,tsq,0.0668664,27821
2500,reverse,string_mergesort,0.2901,16574
2500,reverse,msd_radix,0.281358,11850
2500,reverse,msd_radix_hybrid,0.112108,15737
2500,almost,std_quicksort,0.101725,123138
2500,almost,std_mergesort,0.403109,31055
2500,almost,tsq,0.0730914,29019
2500,almost,string_mergesort,0.3057,24765
2500,almost,msd_radix,0.240691,11850
2500,almost,msd_radix_hybrid,0.117433,15916
2600,random,std_quicksort,0.144,87428
2600,random,std_mergesort,0.581783,37417
2600,random,tsq,0.146567,27505
2600,random,string_mergesort,0.374775,29299
2600,random,msd_radix,0.265108,12396
2600,random,msd_radix_hybrid,0.12965,16726
2600,reverse,std_quicksort,0.0933918,89018
2600,reverse,std_mergesort,0.379083,21656
2600,reverse,tsq,0.071558,29203
2600,reverse,string_mergesort,0.3039,17322
2600,reverse,msd_radix,0.253908,12396
2600,reverse,msd_radix_hybrid,0.11605,16481
2600,almost,std_quicksort,0.0929672,106289
2600,almost,std_mergesort,0.467367,32133
2600,almost,tsq,0.0703416,29503
2600,almost,string_mergesort,0.306408,25495
2600,almost,msd_radix,0.243875,12396
2600,almost,msd_radix_hybrid,0.123092,16659
2700,random,std_quicksort,0.147358,93469
2700,random,std_mergesort,0.617925,39152
2700,random,tsq,0.119358,31117
2700,random,string_mergesort,0.424642,30589
2700,random,msd_radix,0.322292,12934
2700,random,msd_radix_hybrid,0.14075,17506
2700,reverse,std_quicksort,0.0997,88224
2700,reverse,std_mergesort,0.420642,22592
2700,reverse,tsq,0.0780334,30531
2700,reverse,string_mergesort,0.315042,18042
2700,reverse,msd_radix,0.276375,12934
2700,reverse,msd_radix_hybrid,0.122784,17204
2700,almost,std_quicksort,0.10065,115228
2700,almost,std_mergesort,0.433575,32679
2700,almost,tsq,0.119942,31011
2700,almost,string_mergesort,0.320233,25712
2700,almost,msd_radix,0.256975,12934
2700,almost,msd_radix_hybrid,0.128958,17492
2800,random,std_quicksort,0.156825,93786
2800,random,std_mergesort,0.643291,40901
2800,random,tsq,0.126934,29692
2800,random,string_mergesort,0.451592,31875
2800,random,msd_radix,0.334717,13476
2800,random,msd_radix_hybrid,0.149275,18398
2800,reverse,std_quicksort,0.1104,97056
2800,reverse,std_mergesort,0.394967,23667
2800,reverse,tsq,0.0754418,31882
2800,reverse,string_mergesort,0.33175,18830
2800,reverse,msd_radix,0.286692,13476
2800,reverse,msd_radix_hybrid,0.132008,18033
2800,almost,std_quicksort,0.108567,119551
2800,almost,std_mergesort,0.457783,34475
2800,almost,tsq,0.0786832,29967
2800,almost,string_mergesort,0.3911,27234
2800,almost,msd_radix,0.28145,13476
2800,almost,msd_radix_hybrid,0.136208,18102
2900,random,std_quicksort,0.16715,96522
2900,random,std_mergesort,0.68525,42745
2900,random,tsq,0.137167,29713
2900,random,string_mergesort,0.460625,33208
2900,random,msd_radix,0.334825,14032
2900,random,msd_radix_hybrid,0.145325,19272
2900,reverse,std_quicksort,0.104692,103959
2900,reverse,std_mergesort,0.426333,24661
2900,reverse,tsq,0.0769418,33293
2900,reverse,string_mergesort,0.333725,19607
2900,reverse,msd_radix,0.286117,14032
2900,reverse,msd_radix_hybrid,0.133158,18841
2900,almost,std_quicksort,0.129842,152400
2900,almost,std_mergesort,0.458575,36777
2900,almost,tsq,0.0816166,32326
2900,almost,string_mergesort,0.4032,29402
2900,almost,msd_radix,0.288333,14032
2900,almost,msd_radix_hybrid,0.133825,19297
3000,random,std_quicksort,0.175808,100061
3000,random,std_mergesort,0.678408,44457
3000,random,tsq,0.138442,31520
3000,random,string_mergesort,0.467875,34527
3000,random,msd_radix,0.327908,14580
3000,random,msd_radix_hybrid,0.151292,20087
3000,reverse,std_quicksort,0.113792,109159
3000,reverse,std_mergesort,0.427659,25770
3000,reverse,tsq,0.0807,34722
3000,reverse,string_mergesort,0.354692,20457
3000,reverse,msd_radix,0.310492,14580
3000,reverse,msd_radix_hybrid,0.141766,19649
3000,almost,std_quicksort,0.120875,143998
3000,almost,std_mergesort,0.484991,37093
3000,almost,tsq,0.108,34295
3000,almost,string_mergesort,0.358783,29287
3000,almost,msd_radix,0.302358,14580
3000,almost,msd_radix_hybrid,0.138758,19813
